"date";"value"
"21-06-2021";"0.00000"
"22-06-2021";"-0.00297"
"23-06-2021";"-0.00282"
"24-06-2021";"-0.00265"
"25-06-2021";"-0.00249"
"26-06-2021";"-0.00235"
"27-06-2021";"-0.00219"
"28-06-2021";"-0.00205"
"29-06-2021";"-0.00193"
"30-06-2021";"-0.00155"
"01-07-2021";"-0.00138"
"02-07-2021";"-0.00120"
"03-07-2021";"-0.00103"
"04-07-2021";"-0.00086"
"05-07-2021";"-0.00069"
"06-07-2021";"-0.00052"
"07-07-2021";"-0.00035"
"08-07-2021";"-0.00019"
"09-07-2021";"-0.00002"
"10-07-2021";"0.00015"
"11-07-2021";"0.00032"
"12-07-2021";"0.00049"
"13-07-2021";"0.00066"
"14-07-2021";"0.00083"
"15-07-2021";"0.00101"
"16-07-2021";"0.00118"
"17-07-2021";"0.00135"
"18-07-2021";"0.00151"
"19-07-2021";"0.00169"
"20-07-2021";"0.00188"
"21-07-2021";"0.00205"
"22-07-2021";"0.00223"
"23-07-2021";"0.00236"
"24-07-2021";"0.00253"
"25-07-2021";"0.00270"
"26-07-2021";"0.00285"
"27-07-2021";"0.00302"
"28-07-2021";"0.00317"
"29-07-2021";"0.00333"
"30-07-2021";"0.00349"
"31-07-2021";"0.00353"
"01-08-2021";"0.00370"
"02-08-2021";"0.00383"
"03-08-2021";"0.00400"
"04-08-2021";"0.00409"
"05-08-2021";"0.00483"
"06-08-2021";"0.00778"
"07-08-2021";"0.00781"
"08-08-2021";"0.00790"
"09-08-2021";"0.00693"
"10-08-2021";"0.01119"
"11-08-2021";"0.01399"
"12-08-2021";"0.01337"
"13-08-2021";"0.01386"
"14-08-2021";"0.01389"
"15-08-2021";"0.01398"
"16-08-2021";"0.01246"
"17-08-2021";"0.00891"
"18-08-2021";"0.00645"
"19-08-2021";"0.00040"
"20-08-2021";"0.00225"
"21-08-2021";"0.00229"
"22-08-2021";"0.00233"
"23-08-2021";"0.00462"
"24-08-2021";"0.00898"
"25-08-2021";"0.01002"
"26-08-2021";"0.00684"
"27-08-2021";"0.01085"
"28-08-2021";"0.01089"
"29-08-2021";"0.01099"
"30-08-2021";"0.01203"
"31-08-2021";"0.01491"
"01-09-2021";"0.01655"
"02-09-2021";"0.01957"
"03-09-2021";"0.02048"
"04-09-2021";"0.02056"
"05-09-2021";"0.02059"